id,title,severity,priority,confidence,effort,category,description,scenario,impact,cause,recommendation,test,risk,evidence
TC-011,"Relay loguje surowe identyfikatory obu stron i message ID, tworząc trwały zapis grafu społecznego",HIGH,P1,high,S,Prywatność / observability,"Treść jest E2E zaszyfrowana, ale standardowy `RUST_LOG=info` utrwala najcenniejsze metadane: kto, do kogo i kiedy wysłał konkretny envelope. Nie znaleziono serwerowej sanitizacji analogicznej do diagnostyki klienta.","Operator, agregator logów, backup logów lub włamanie do systemu obserwowalności uzyskuje historię par kontaktów, częstotliwość komunikacji, status online i korelację message IDs. Retencja logów może być dłuższa niż retencja bazy relay.","Naruszenie głównej obietnicy privacy-first mimo poprawnego E2E. Tor ukrywa trasę sieciową, ale relay nadal zna logiczne identyfikatory sesji; logi utrwalają tę wiedzę.","Logi diagnostyczne zostały zaprojektowane pod debugowanie routingu, bez threat modelu metadanych serwera.","Na poziomie info używać liczników i per-process pseudonimów/HMAC z rotowanym kluczem, nigdy sender+recipient w jednym rekordzie. Surowe IDs tylko w lokalnym, opt-in secure debug z krótką retencją. Zdefiniować politykę retencji, dostęp i automatyczny test sanitizacji serwera.","Test capture tracing: typowy send, offline i queue-full nie mogą zawierać installation IDs, onion, message ID ani nickname. Dopuszczalne są rotowane pseudonimy niełączliwe między okresami.","Pseudonimizacja utrudni korelację incydentów. Zachować request correlation generowane po stronie serwera, nie oparte na trwałej tożsamości.","`server/torchat-server/src/main.rs:1159-1183,1213-1225,1318-1322` — logi sesji zawierają pełny `installation_id` i connection IDs. | `server/torchat-server/src/main.rs:1332-1339` — każdy envelope loguje sender, recipient i message ID w jednym rekordzie. | `server/torchat-server/src/main.rs:1373-1435` — walidacja, queue full, forwarded, write failed i offline ponownie logują te same identyfikatory."
TC-012,"Relay nie jest bezpieczny dla wielu instancji: challenge, połączenia, rate state i routing są procesowe",HIGH,P1,high,L,Serwer / skalowanie i dostępność,Serwer działa poprawnie jako pojedyncza instancja. Za load balancerem stan control i data plane nie jest współdzielony. Sama baza PostgreSQL nie rozwiązuje aktywnych WebSocketów ani challenge.,"Challenge powstaje na instancji A, rejestracja trafia do B i kończy się not found. Nadawca ma WebSocket na A, odbiorca na B; A zwraca recipient offline. Rolling deploy zamyka wszystkie lokalne sesje, a druga instancja nie przejmuje routingu. Rate limit można obchodzić rozpraszając żądania.","Fałszywy offline, niestabilny pairing, brak rolling deploymentu i ukryta bariera skalowania. To ryzyko staje się realnym błędem natychmiast po uruchomieniu >1 repliki.",Brak jawnego inwariantu deploymentu „single instance” i brak rozproszonego registry/pub-sub.,"Dla 0.1 jawnie wymusić jedną replikę i readiness, aby orkiestrator nie uruchomił równoległych instancji. Docelowo przenieść challenge/rate state do Redis/Postgres z atomowymi TTL, aktywne połączenia rejestrować z instance ID/lease, a envelope routować przez pub-sub/stream do właściciela WebSocket. Sticky sessions nie wystarczą dla nadawca→odbiorca.",Dwie instancje: challenge na A/rejestracja na B; sender A/recipient B; zastąpienie sesji; restart A podczas forward. Wszystkie przypadki muszą mieć jednoznaczną semantykę.,"Warstwa pub-sub zwiększa metadane i złożoność. Najpierw utrwalić single-instance jako wspierany model, a multi-instance zaprojektować świadomie.","`server/torchat-server/src/main.rs:89-99` — challenges, installations cache, connections i pairing_attempts są `HashMap` w pamięci procesu. | `server/torchat-server/src/main.rs:1159-1178` — jedna sesja na installation jest zastępowana wyłącznie w lokalnej mapie. | `server/torchat-server/src/main.rs:1362-1443` — routing odbiorcy przeszukuje tylko lokalne `connections`."
TC-013,Niezalogowane endpointy bootstrap/session nie mają skutecznego per-origin ani globalnego concurrency budget,MEDIUM,P1,high,M,Serwer / abuse i DoS,"Limit rozmiaru wejścia jest poprawny, lecz atakujący może wielokrotnie wypełniać pulę challenge, wymuszać weryfikacje kryptograficzne i otwierać WebSockety. Przy Torze klasyczny per-IP limit może nie być użyteczny, więc potrzebne są budżety niezależne od adresu.","Bot przez Tor generuje 10k challenge, utrzymuje pulę blisko limitu i odświeża po TTL. Legalni klienci dostają 429. Równolegle wysyła niepoprawne proof/session i zajmuje CPU/DB. Na wielu instancjach każdy proces ma osobny limit.","Tani DoS control plane, szczególnie przy małym relay. Brak mechanizmu odcięcia kosztownych klientów przed kryptografią/DB.",Abuse prevention ogranicza się do body size i jednej mapy capacity.,"Dodać globalne semafory dla bootstrap crypto, DB i upgrade’ów, deadline middleware, limit aktywnych/nowych WebSocketów, budżet challenge per anonimowy token oraz ewentualnie lekki proof-of-work/adaptive puzzle. Limity muszą uwzględniać Tor i nie polegać wyłącznie na IP. Eksponować metryki odrzuceń bez surowych IDs.","Load test nieautoryzowanych challenge/proof/ws; legalny klient zachowuje bounded latency, pamięć i liczbę zadań. Test limitów na jednej i dwóch instancjach.","Zbyt agresywne limity zaszkodzą klientom na wolnych obwodach Tor. Używać dłuższych timeoutów protokołu, lecz bounded concurrency.","`server/torchat-server/src/main.rs:420-448` — challenge ma jedynie globalny limit liczby wpisów i TTL. | `server/torchat-server/src/main.rs:451-465` — rejestracja wykonuje weryfikację podpisu po pobraniu challenge. | `server/torchat-server/src/main.rs:328-357` — Router ma limit body 16 KiB, ale brak timeout/concurrency/rate middleware. | `server/torchat-server/src/main.rs:641-713` — pairing rate jest dopiero po autoryzacji i per sender."
TC-014,Format snapshotu MLS zależy od prywatnego layoutu `openmls_memory_storage` i nie ma planu migracji wersji,MEDIUM,P2,high,L,Kryptografia / kompatybilność danych,"Snapshot jest kompletny i działa dla bieżącej wersji, ale jego stabilność zależy od kluczy/wartości wewnętrznego storage OpenMLS. Nagłówek rozpoznaje tylko własny format, nie wersję biblioteki, ciphersuite ani migrator.","Aktualizacja OpenMLS zmienia klucze storage, serializację signer/group lub wymagania provider. Nowy klient otwiera bazę, nagłówek TCMEM1 jest poprawny, ale `SignatureKeyPair::read` lub `MlsGroup::load` nie potrafi odtworzyć stanu. Użytkownik traci możliwość odszyfrowania nowych wiadomości.",Ryzyko nieodwracalnej utraty konwersacji przy aktualizacji zależności; blokada bezpiecznych security upgrades.,PoC-owy snapshot provider internals zamiast jawnie wersjonowanego storage contract.,"Dodać envelope `MlsSnapshotVn` z app schema, OpenMLS version, suite, group ID/epoch i checksum. Zbudować golden fixtures dla każdej wydanej wersji oraz migrator offline. Rozważyć wspierany storage provider OpenMLS lub własny adapter z publicznym, stabilnym schematem zamiast bezpośredniego dostępu do `.values`.",Każde wydanie musi otwierać golden snapshot poprzedniej wersji i kontynuować wymianę wiadomości z peerem. Test niedozwolonego downgrade i uszkodzonego snapshotu.,"Migracja stanu MLS jest kryptograficznie wrażliwa; nie rekonstruować brakujących kluczy. Gdy migracja nie jest pewna, wymusić bezpieczny re-pair z jawnym komunikatem.","`common/torchat-core/src/mls.rs:38-57` — własny provider bezpośrednio używa `MemoryStorage`. | `common/torchat-core/src/mls.rs:89-151,201-264` — serializacja iteruje po `storage.values` i odtwarza je do mapy pod nagłówkiem `TCMEM1`. | `Cargo.lock` — OpenMLS 0.8.1, `openmls_memory_storage` 0.5.0 i powiązany stos crypto."
TC-015,`processed_commands` nie ma polityki retencji ani cleanupu,MEDIUM,P2,high,S,Storage / wzrost danych,"Trwała idempotency jest wartościowa, lecz wszystkie historyczne wyniki mutacji pozostają bezterminowo w bazie. Nie ma limitu czasu, liczby ani rozmiaru.","Długo używany klient generuje setki tysięcy operation IDs, zwłaszcza jeśli host używa request ID dla każdej próby. Tabela i indeks rosną, backup/rekey/startup są cięższe, a wynik JSON utrwala dane dłużej niż domenowe rekordy.","Wzrost bazy, dodatkowa retencja metadanych i koszt maintenance.",Idempotency store został dodany bez formalnego retry horizon.,"Ustalić maksymalne okno ponowienia (np. 30–90 dni dla krytycznych mutacji, krótsze dla innych), okresowo usuwać pełny result, pozostawiając opcjonalny hash/tombstone do wykrycia konfliktu. Limitować wielkość result JSON i raportować rozmiar.","Prune nie może usunąć wpisu w aktywnym oknie retry; po usunięciu starego pełnego wyniku konflikt tego samego ID z innym payloadem nadal jest wykrywalny, jeśli zachowano tombstone.",Zbyt krótka retencja dopuści ponowne wykonanie bardzo starej operacji. Polityka musi być dłuższa od maksymalnego wspieranego offline/retry.,"`common/torchat-client-engine/sql/migrations/016_projection_consistency.sql:16-25` — tabela przechowuje command type, pełny result JSON, revision i created_at. | `common/torchat-client-engine/src/storage/sqlite/projection.rs:4-46` — są tylko load/save; brak delete/prune. | `common/torchat-client-engine/src/actor/mod.rs:405-457` — odczyt przy każdym command ID i zapis wyniku po sukcesie."
TC-016,Krytyczna logika relacji jest ukryta w 412-liniowej migracji triggerów i zdublowana w Rust,MEDIUM,P2,high,L,Architektura / storage,"SQL dobrze nadaje się do constraintów, FK i prostych invariantów, lecz tutaj implementuje pełny workflow z formatem wiadomości, polityką historii i cleanupem technicznym. Druga implementacja istnieje w runtime, więc zmiana wymaga synchronizacji dwóch state machine.","Nowa tabela capability/outbox zostaje dodana, ale tylko jedna ścieżka removal ją czyści. Świeża instalacja i baza po innej sekwencji migracji mogą zachowywać się inaczej. Błąd triggera ujawnia się dopiero podczas INSERT wiadomości.","Wysokie ryzyko driftu, trudne testy jednostkowe, koszt migracji i nieprzewidywalne efekty uboczne.",Próba zapewnienia atomowości przez przeniesienie procesu domenowego do triggerów zamiast użycia jawnego Unit of Work.,"Pozostawić w SQL FK, unique/check, monotonic guards i ewentualnie minimalne ochrony tombstone. Przenieść workflow relacji do typowanego repository/process manager uruchamianego w jednej transakcji. Dodać jedną funkcję `apply_relationship_transition(tx, command)` używaną dla local/remote. Stare triggery usuwać etapami po migracji i testach równoważności.",Tabela testów przejść local/remote/replay/re-pair/crash uruchamiana dla starej i nowej implementacji; porównanie końcowego zestawu rekordów. Migration test z każdej wersji.,"Usunięcie triggerów za wcześnie może otworzyć race między starym i nowym klientem. Najpierw dual-write verification bez podwójnych side effects, potem drop w osobnej migracji.","`common/torchat-client-engine/sql/migrations/014_runtime_integrity.sql:1-412` — triggery zapisują timestampy stanów, granice relacji, rozpoznają wiadomości systemowe, blokują kontakty i kasują wiele tabel. | `common/torchat-client-engine/src/storage/runtime_storage.rs:521-597` — lokalne `remove_relationship` wykonuje podobną sekwencję w Rust. | `common/torchat-client-engine/tests/remote_relationship_removal.rs:37-...` — testuje trigger jako główny mechanizm domenowy."
TC-017,Ważność invite/endpoint i kolejność relationship removal zależą od nieskorygowanego wall clock,MEDIUM,P1,high,M,Czas / system rozproszony,Retry deadlines używają mieszanki `Instant` i unix timestamps. Dla ważności protokołu i relacji nie ma modelu maksymalnego clock skew ani logicznej epoki relacji.,"Telefon ma zegar 10 minut do przodu: świeży 15-minutowy invite może szybko wygasnąć, endpoint zostać uznany za stary. Telefon z zegarem do tyłu może przyjąć dłużej ważny artefakt. Opóźniony removal z błędnym future timestampem może pokonać późniejszą relację.","Niedeterministyczne pairing/P2P, replay guards zależne od jakości zegara i możliwość błędnego usunięcia nowej relacji.","Wall clock pełni jednocześnie rolę UX expiry, kolejności domenowej i scheduler deadline.","Wstrzyknąć `Clock` do core/engine, użyć monotonic deadlines wewnątrz procesu, a w wire expiry dopuścić jawny bounded skew. Kolejność relacji oprzeć na losowym/monotonicznym `relationshipEpoch` ustanowionym przy pairing, nie na timestampie nadawcy.","Macierz ±1 min, ±10 min, ±24 h dla invite, endpointu i removal; opóźniony removal z poprzedniej epoki zawsze ignorowany niezależnie od czasu.","Tolerancja skew wydłuża okno replay. Musi być mała i połączona z jednorazowym invite ID, sekwencją endpointu i epoch relacji.","`common/torchat-core/src/lib.rs:123-128` — invite jest odrzucany, gdy `expires_at < SystemTime::now()` bez tolerancji. | `common/torchat-core/src/peer_protocol.rs:126-140` — endpoint expiry jest porównywany do lokalnego `now`. | `common/torchat-client-engine/sql/migrations/014_runtime_integrity.sql:215-267` — świeżość removal opiera się na zdalnym ISO timestampie porównanym z lokalnym relationship boundary. | `common/torchat-client-runtime/src/clock.rs` istnieje, ale core/engine helpery nadal bezpośrednio czytają `SystemTime`."
TC-018,CI i supply chain nie są przypięte ani kompletne dla release security,MEDIUM,P1,high,M,CI/CD / supply chain,"CI ma dobre podstawy jakości, ABI i real-Tor gate, ale build release nie jest reprodukowalny w czasie i nie weryfikuje znanych podatności/licencji/provenance.",Mutable action/toolchain zmienia się bez zmiany repo; build zaczyna używać innego kompilatora lub action. Podatność w zależności crypto pozostaje niewykryta. Nie ma SBOM do odpowiedzi incydentowej.,"Ryzyko supply-chain i trudność odtworzenia APK/binary. Duplikaty bibliotek nie są same w sobie błędem, ale zwiększają powierzchnię aktualizacji.","Workflow skupia się na funkcjonalnej walidacji 0.1, nie na release provenance.","Pinować actions po commit SHA, Rust przez `rust-toolchain.toml`, Flutter/Java/OS image w kontrolowanym zakresie. Dodać `cargo audit`/OSV, `cargo deny` dla licencji/źródeł/duplikatów krytycznych, SBOM CycloneDX/SPDX, artifact attestation/provenance i skan obrazu. Ustalić policy update Tor/OpenMLS.","CI ma fail na znanej testowej advisory, niezatwierdzonej licencji i nieprzypiętej action. Dwa buildy z tego samego commita powinny mieć udokumentowany poziom reprodukowalności.",Ścisłe deny duplikatów może być nierealne dla OpenMLS stack. Zacząć od raportowania i allowlisty z właścicielem/terminem.,"`.github/workflows/release-0-1-validation.yml:23-29,63,75-79,95-103,121-129,157-171` — `ubuntu-latest`, `windows-latest`, actions `@v4/@v2`, Rust `stable`, Flutter `stable` są ruchome. | `.github/workflows/release-0-1-validation.yml:45-52` — fmt/check/test/clippy, ale brak `cargo audit`, `cargo deny`, SBOM, provenance i license policy. | `Cargo.lock` — równolegle kilka generacji `rand`, `rand_core`, `digest`, `sha2`, `chacha20` i kilka backendów crypto przez OpenMLS/HPKE/ring/rustls."
TC-019,"Brakuje automatycznych testów crash/fuzz/property dla kluczowych gwarancji, a real-Tor nie jest bramką PR",MEDIUM,P1,high,L,Testy,"Testy pokazują świadomą pracę nad resilience, ale nie obejmują granic commitu i kolejności wszystkich durable workflows. Najgroźniejszy TC-002 powstaje właśnie między udanym commitem a efektem receipt.","Refaktor przechodzi unit tests, lecz zmienia kolejność ACK/outbox/MLS albo zachowanie po kill -9. Niepoprawna ramka peer ujawnia panic/duży allocation dopiero w produkcji.",Regresje utraty wiadomości/desynchronizacji mogą przejść CI; bezpieczeństwo parserów zależy od ręcznych przykładów.,Brak wspólnego fault-injection harness dwóch peerów i systematycznego modelu state-machine testing.,"Zbudować deterministyczny two-peer harness z fake clock/RNG/transport i punktami crash injection przed/po każdym commicie/efekcie. Dodać property tests state transitions, fuzzing wszystkich kodeków/ramek i nightly real-Tor E2E z wiadomością, pairingiem, fallbackiem i restartem. Na PR uruchamiać krótszy Tor smoke lub hermetyczny symulator.",Macierz w sekcji „Braki testowe” raportu jest minimalnym acceptance planem P0/P1.,Real Tor jest wolny/flaky. Rozdzielić deterministyczne testy protokołu od mniejszej liczby real-network gates; nie maskować błędów automatycznym retry całego testu.,"`.github/workflows/release-0-1-validation.yml:54-66` — test dwóch silników przez Tor jest pomijany dla pull requestów i sprawdza ping/pong. | `common/torchat-client-engine/tests/delivery_resilience.rs:64-...` — istnieją wartościowe testy restart/dedupe, ale zakres jest wąski. | `common/torchat-client-engine/tests/pairing_recovery.rs`, `pending_welcome_retention.rs`, `remote_relationship_removal.rs` — pokrywają pojedyncze recovery paths. | Brak targetów/dependencies `cargo-fuzz`, `proptest`, `quickcheck`, `loom` w dostarczonym materiale."
TC-020,"Relay fallback jest wyłącznie live forwarding, nie trwałym store-and-forward — kontrakt produktu musi to mówić wprost",INFO,P2,high,S,Semantyka dostarczenia,"Implementacja jest spójna i prywatnościowo korzystna: serwer nie trzyma ciphertextów. Trwałość znajduje się u nadawcy, który retry. Problem powstanie tylko wtedy, gdy UI/dokumentacja obiecuje „relay przechowa wiadomość dla offline recipienta”.","Nadawca wybiera relay fallback, odbiorca jest offline. Relay zwraca offline, wiadomość pozostaje queued u nadawcy i dojdzie dopiero, gdy nadawca ponownie będzie online jednocześnie z drogą dostarczenia.","Brak utraty przy działającym outboxie, ale inne oczekiwania dostępności niż klasyczny komunikator store-and-forward.",Świadoma architektura live-only; brak jednoznacznej nazwy/UX.,"Nazwać tryb `live relay fallback`, opisać wymaganie aktywności nadawcy i nie przedstawiać `FORWARDED` jako dostarczenia. Jeśli wymagany jest offline relay, potrzebny jest osobny threat model retencji/metadanych, TTL i szyfrowany durable queue — nie dodawać tego przypadkowo.",Odbiorca offline: stan pozostaje queued po outcome; restart nadawcy zachowuje outbox; po równoczesnej dostępności dochodzi dokładnie raz.,"Brak zmiany kodu, o ile produkt akceptuje semantics. Zmiana na store-and-forward jest dużą zmianą prywatności i serwera.","`server/torchat-server/src/main.rs:1362-1443` — relay szuka odbiorcy w mapie aktywnych połączeń, forwarduje do bounded queue albo zwraca `RecipientOffline`. | `server/torchat-server/sql/schema_migrations.sql` i zapytania — brak tabeli przechowującej application envelopes. | `common/torchat-client-runtime/src/message_rules.rs:24-45,106-117` — `FORWARDED` daje `SENT`, a `RECIPIENT_OFFLINE` wraca do `QUEUED`."
TC-021,"Mojibake jest widoczne w agregacie, ale nie można rozstrzygnąć, czy pochodzi z repozytorium czy eksportera",LOW,P2,low,S,Jakość / encoding,"Znaki są niewątpliwie uszkodzone w materiale audytowym, ale nie ma dowodu, że identyczne bajty znajdują się w Git. Mogło dojść do wielokrotnej konwersji UTF-8/CP podczas agregacji.","Jeśli błąd jest w repo, użytkownik widzi uszkodzone notyfikacje i komunikaty. Jeśli tylko w eksporcie, masowa automatyczna „naprawa” repo uszkodzi poprawne teksty.",Potencjalny błąd UX i ryzyko błędnej naprawy bez weryfikacji.,Nieustalone kodowanie źródła/eksportu.,"Na rzeczywistym checkout uruchomić istniejący checker, `git grep` po charakterystycznych sekwencjach i sprawdzić bajty `xxd/file`. Naprawiać wyłącznie pliki potwierdzone w Git; dodać golden test polskich tekstów w UTF-8.",Checker na czystym checkout plus test JSON/Dart/Rust round-trip `Zażółć gęślą jaźń`. Eksport CODECAT powinien zachować ten sam SHA/bajty.,Nie wykonywać globalnego transcodingu na podstawie tego agregatu.,"`common/internal-runtime-fixtures.json` i liczne literały w agregacie zawierają sekwencje typu `Po┼é─àczono`. | `.github/workflows/release-0-1-validation.yml:39-41` uruchamia `scripts/internal/check-text-encoding.ps1`. | Nagłówek CODECAT zgłasza `WARNINGS: 0`, lecz sam agregat przeszedł przez warstwę eksportu."
TC-022,Największe moduły nadal łączą kilka odpowiedzialności i tworzą wysokie ryzyko zmian przekrojowych,MEDIUM,P2,high,L,Architektura / modularność,"Repo ma sensowne crate boundaries i rozpoczęty podział actor, ale duże pliki nadal zawierają modele przejść, repozytoria, workflow, mappingi i efekty. Nie jest to argument za rewrite; jest to granica kosztu kolejnych feature’ów.","Zmiana pairingu dotyka runtime.rs, actor, SQL, relay main i UI; code review nie widzi pełnej state machine. Nowa kolejka lub stan jest mapowany w kilku miejscach i łatwo pominąć cleanup/recovery.","Wolniejsze review, większe ryzyko regresji i trudniejsze testy jednostkowe.",Szybka ewolucja PoC i koncentracja logiki w centralnych orchestratorach.,"Podział według durable workflow, nie według warstw technicznych: `message_delivery`, `pairing_process`, `relationship_process`, `endpoint_capability_process`; osobno repositories i typed transactions. Server: auth/bootstrap, pairing handlers, session registry/router, storage, cleanup. Zachować jeden actor jako serializer, ale delegować do małych command handlerów.","Każdy wydzielony moduł ma contract/state transition tests; source-size ratchet obniżany etapami, bez samego przesuwania kodu do innych god files.",Nadmierna liczba crate’ów zwiększy build i API surface. Najpierw moduły wewnątrz obecnych crate’ów; biblioteki tylko dla stabilnych granic opisanych w raporcie.,"`common/torchat-client-runtime/src/runtime.rs` — 3068 linii. | `server/torchat-server/src/main.rs` — 1821 linii. | `common/torchat-client-engine/src/storage/runtime_storage.rs` — 1609 linii. | `common/torchat-client-engine/src/actor/mod.rs` — 1320 linii mimo wydzielonych submodułów. | `scripts/internal/check-source-size.ps1` pokazuje, że problem jest już monitorowany ratchetem."
