path,category,lines,bytes,review_status,review_depth,omission_reason
common/torchat-client-engine/sql/migrations/012_pending_peer_endpoint_inbox.sql,Migracje i zapytania SQL,10,305,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/013_default_peer_transport.sql,Migracje i zapytania SQL,9,414,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/014_runtime_integrity.sql,Migracje i zapytania SQL,413,14630,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/015_pairing_mls_state.sql,Migracje i zapytania SQL,15,473,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/016_projection_consistency.sql,Migracje i zapytania SQL,26,868,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/017_contact_presence.sql,Migracje i zapytania SQL,2,54,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/018_contact_endpoint_capabilities.sql,Migracje i zapytania SQL,18,635,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/019_peer_endpoint_capabilities.sql,Migracje i zapytania SQL,17,584,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/020_pending_application_envelopes.sql,Migracje i zapytania SQL,15,568,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/021_capability_delivery_outbox.sql,Migracje i zapytania SQL,13,418,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/queries/connection_pragmas.sql,Migracje i zapytania SQL,4,81,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
common/torchat-client-engine/sql/queries/migration_insert.sql,Migracje i zapytania SQL,3,88,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
common/torchat-client-engine/sql/queries/migration_lookup.sql,Migracje i zapytania SQL,4,61,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
common/torchat-client-engine/sql/queries/table_columns.sql,Migracje i zapytania SQL,3,40,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
common/torchat-client-engine/src/actor/application_envelope.rs,Kod produkcyjny,396,24626,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/capabilities.rs,Kod produkcyjny,369,14324,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/command_dispatch.rs,Kod produkcyjny,453,20832,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/connection.rs,Kod produkcyjny,533,23182,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/messaging.rs,Kod produkcyjny,389,15637,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/mod.rs,Kod produkcyjny,1321,52845,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/pairing.rs,Kod produkcyjny,470,19383,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/peer_control.rs,Kod produkcyjny,336,13009,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/peer_events.rs,Kod produkcyjny,457,20910,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/platform_facts.rs,Kod produkcyjny,291,13072,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/projection.rs,Kod produkcyjny,107,4569,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/receipts.rs,Kod produkcyjny,196,7324,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/relay_envelope.rs,Kod produkcyjny,255,37856,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/relay_events.rs,Kod produkcyjny,352,15798,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/retry_scheduler.rs,Kod produkcyjny,102,3943,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/actor/runtime_transaction.rs,Kod produkcyjny,137,5682,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/command.rs,Kod produkcyjny,182,4007,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/config.rs,Kod produkcyjny,41,1011,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/engine.rs,Kod produkcyjny,125,4193,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/error.rs,Kod produkcyjny,37,976,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/event.rs,Kod produkcyjny,148,3396,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/lib.rs,Kod produkcyjny,27,794,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/logging.rs,Kod produkcyjny,310,10744,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/peer/inbound.rs,Kod produkcyjny,522,19959,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/peer/mod.rs,Kod produkcyjny,28,1076,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/peer/outbound.rs,Kod produkcyjny,505,18016,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/peer/queue.rs,Kod produkcyjny,243,7972,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/peer/session.rs,Kod produkcyjny,547,19060,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/peer/types.rs,Kod produkcyjny,182,5077,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/peer/wire.rs,Kod produkcyjny,149,4788,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/probing.rs,Kod produkcyjny,434,13180,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/src/relay/actor.rs,Kod produkcyjny,1068,38863,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/relay/connection.rs,Kod produkcyjny,10,239,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/relay/error.rs,Kod produkcyjny,15,357,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/relay/heartbeat.rs,Kod produkcyjny,8,166,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/relay/mod.rs,Kod produkcyjny,141,4043,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/relay/writer.rs,Kod produkcyjny,6,157,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/migrations.rs,Kod produkcyjny,124,3986,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/mod.rs,Kod produkcyjny,16,679,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/runtime_storage.rs,Kod produkcyjny,1610,63093,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/messages.rs,Kod produkcyjny,381,13920,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/migrations.rs,Kod produkcyjny,194,7621,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/mod.rs,Kod produkcyjny,1247,45555,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/pairing.rs,Kod produkcyjny,418,15538,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/peer_endpoints.rs,Kod produkcyjny,480,17883,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/projection.rs,Kod produkcyjny,58,1763,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/receipts.rs,Kod produkcyjny,244,9082,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/sqlite/records.rs,Kod produkcyjny,170,4456,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/src/storage/transaction.rs,Kod produkcyjny,48,1246,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/tests/command_idempotency.rs,Testy,90,2975,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-client-engine/tests/database_migrations.rs,Testy,346,12588,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-client-engine/tests/delivery_resilience.rs,Testy,209,7100,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-client-engine/tests/engine_pipeline_characterization.rs,Testy,77,2521,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-client-engine/tests/pairing_recovery.rs,Testy,161,5805,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-client-engine/tests/pending_welcome_retention.rs,Testy,140,4898,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-client-engine/tests/remote_relationship_removal.rs,Testy,229,8112,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-client-runtime/Cargo.toml,Dokumentacja i konfiguracja repozytorium,19,437,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-runtime/src/application_snapshot.rs,Kod produkcyjny,186,6615,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/clock.rs,Kod produkcyjny,22,470,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/collections.rs,Kod produkcyjny,83,2811,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/contract.rs,Kod produkcyjny,211,5744,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/error.rs,Kod produkcyjny,47,1159,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/lib.rs,Kod produkcyjny,162,6493,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/logic.rs,Kod produkcyjny,451,13037,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/message_rules.rs,Kod produkcyjny,137,4402,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/models.rs,Kod produkcyjny,698,19608,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/pairing_rules.rs,Kod produkcyjny,774,23123,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/retry.rs,Kod produkcyjny,22,641,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/runtime.rs,Kod produkcyjny,3069,112717,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/runtime/helpers.rs,Kod produkcyjny,55,1752,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/runtime/lifecycle.rs,Kod produkcyjny,81,2288,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/session.rs,Kod produkcyjny,270,9266,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/storage.rs,Kod produkcyjny,81,3048,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/src/transport.rs,Kod produkcyjny,11,496,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-runtime/tests/runtime_send_effect.rs,Testy,64,2336,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
common/torchat-core/Cargo.toml,Dokumentacja i konfiguracja repozytorium,26,665,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-core/src/application.rs,Kod produkcyjny,203,5401,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-core/src/lib.rs,Kod produkcyjny,365,12173,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-core/src/mls.rs,Kod produkcyjny,478,18181,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-core/src/peer_protocol.rs,Kod produkcyjny,666,21471,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-core/src/relay.rs,Kod produkcyjny,507,14978,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
desktop/Cargo.toml,Dokumentacja i konfiguracja repozytorium,21,677,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
desktop/build.rs,Kod produkcyjny,7,317,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
desktop/src/cli.rs,Kod produkcyjny,61,2355,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
desktop/src/identity_store.rs,Kod produkcyjny,76,2469,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
desktop/src/main.rs,Kod produkcyjny,18,391,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
desktop/src/process_lock.rs,Kod produkcyjny,145,4212,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
desktop/src/runtime_engine_stdio.rs,Kod produkcyjny,364,12845,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
desktop/src/tor_runtime.rs,Kod produkcyjny,490,17065,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
infra/config/desktop-tor-packages.json,"Skrypty, CI/CD i infrastruktura",17,626,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/db/migrations/004_schema_sql_files.sql,Migracje i zapytania SQL,24,747,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
infra/db/migrations/005_pairing_sql_file.sql,Migracje i zapytania SQL,25,957,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
infra/db/migrations/006_pairing_request_deduplication.sql,Migracje i zapytania SQL,11,585,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
infra/db/migrations/007_contacts.sql,Migracje i zapytania SQL,11,535,przejrzany w dostarczonym agregacie,"przegląd schematu, transakcji i indeksów",
infra/docker/Cargo.server.toml,"Skrypty, CI/CD i infrastruktura",12,183,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/docker/Cargo.torka.toml,"Skrypty, CI/CD i infrastruktura",17,351,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/docker/compose.dev.yml,"Skrypty, CI/CD i infrastruktura",102,3201,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/docker/compose.host.yml,"Skrypty, CI/CD i infrastruktura",60,1578,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/docker/torka-integration.py,"Skrypty, CI/CD i infrastruktura",229,8913,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/docker/torka-supervisor.py,"Skrypty, CI/CD i infrastruktura",65,1625,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/docker/torka.py,"Skrypty, CI/CD i infrastruktura",374,14979,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
infra/host/bootstrap-staging.sh,"Skrypty, CI/CD i infrastruktura",32,1554,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
mobile/.gitignore,Dokumentacja i konfiguracja repozytorium,46,703,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/analysis_options.yaml,Dokumentacja i konfiguracja repozytorium,29,1420,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/.gitignore,Kod mobilny i integracje platformowe,13,221,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/build.gradle.kts,Kod mobilny i integracje platformowe,147,7068,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/proguard-rules.pro,Kod mobilny i integracje platformowe,0,0,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/debug/AndroidManifest.xml,Kod mobilny i integracje platformowe,8,378,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/debug/assets/dev-fixtures/android-peer.json,Kontrakty i modele protokołu,5,21202,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/main/AndroidManifest.xml,Kod mobilny i integracje platformowe,48,2188,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/main/kotlin/org/torchat/core/NativeClientEngine.kt,Kod mobilny i integracje platformowe,107,3747,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/generated/EngineContract.kt,"Kod wygenerowany, lock i zasoby zależności",427,19565,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/AndroidEngineEventMapper.kt,Kod mobilny i integracje platformowe,135,5738,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/AndroidEngineEventPump.kt,Kod mobilny i integracje platformowe,49,1553,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/AndroidEngineHost.kt,Kod mobilny i integracje platformowe,198,7479,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/AndroidNotificationPolicy.kt,Kod mobilny i integracje platformowe,50,1773,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/MainActivity.kt,Kod mobilny i integracje platformowe,518,22251,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/NotificationNavigation.kt,Kod mobilny i integracje platformowe,9,310,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/RelaySupervisor.kt,Kod mobilny i integracje platformowe,82,3356,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/StartupPlatformLogger.kt,Kod mobilny i integracje platformowe,91,3237,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/TorChatApplication.kt,Kod mobilny i integracje platformowe,69,2546,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/mobile/TorChatForegroundService.kt,Kod mobilny i integracje platformowe,1040,45067,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/security/LocalSecretStore.kt,Kod mobilny i integracje platformowe,120,4659,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/kotlin/org/torchat/security/TorRuntime.kt,Kod mobilny i integracje platformowe,257,10626,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
mobile/android/app/src/main/res/drawable-v21/launch_background.xml,Kod mobilny i integracje platformowe,13,439,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/main/res/drawable/ic_stat_tor.xml,Kod mobilny i integracje platformowe,10,704,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/main/res/drawable/launch_background.xml,Kod mobilny i integracje platformowe,13,439,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/main/res/values-night/styles.xml,Kod mobilny i integracje platformowe,19,995,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/main/res/values/colors.xml,Kod mobilny i integracje platformowe,4,78,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/main/res/values/styles.xml,Kod mobilny i integracje platformowe,19,996,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/profile/AndroidManifest.xml,Kod mobilny i integracje platformowe,8,378,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/app/src/test/kotlin/org/torchat/mobile/AndroidEngineEventMapperTest.kt,Testy,46,1494,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
mobile/android/app/src/test/kotlin/org/torchat/mobile/AndroidEngineEventPumpNotificationTest.kt,Testy,46,1436,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
mobile/android/app/src/test/kotlin/org/torchat/mobile/RuntimeContractManifestTest.kt,Testy,123,4874,przejrzany w dostarczonym agregacie,przegląd zakresu i asercji,
mobile/android/build.gradle.kts,Kod mobilny i integracje platformowe,25,537,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/gradle.properties,Kod mobilny i integracje platformowe,6,316,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
mobile/android/gradle/wrapper/gradle-wrapper.properties,"Kod wygenerowany, lock i zasoby zależności",6,201,przejrzany w dostarczonym agregacie,kontrola pochodzenia/generowania lub zależności,
mobile/android/gradlew.bat,"Kod wygenerowany, lock i zasoby zależności",91,2314,przejrzany w dostarczonym agregacie,kontrola pochodzenia/generowania lub zależności,
mobile/android/settings.gradle.kts,Kod mobilny i integracje platformowe,27,772,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
